"state","sightings","full_name"
"AB",1,NA
"AK",473,"Alaska"
"AL",1048,"Alabama"
"AR",847,"Arkansas"
"AZ",3894,"Arizona"
"BC",1,NA
"CA",12961,"California"
"CO",2547,"Colorado"
"CT",1542,"Connecticut"
"DC",113,"District of Columbia"
"DE",315,"Delaware"
"FL",6373,"Florida"
"GA",2166,"Georgia"
"HI",364,"Hawaii"
"IA",1008,"Iowa"
"ID",1062,"Idaho"
"IL",3401,"Illinois"
"IN",1920,"Indiana"
"KS",921,"Kansas"
"KY",1279,"Kentucky"
"LA",854,"Louisiana"
"MA",2154,"Massachusetts"
"MB",1,NA
"MD",1386,"Maryland"
"ME",818,"Maine"
"MI",2809,"Michigan"
"MN",1597,"Minnesota"
"MO",2098,"Missouri"
"MS",596,"Mississippi"
"MT",768,"Montana"
"NB",1,NA
"NC",2900,"North Carolina"
"ND",192,"North Dakota"
"NE",555,"Nebraska"
"NH",871,"New Hampshire"
"NJ",1908,"New Jersey"
"NM",1223,"New Mexico"
"NS",1,NA
"NV",1294,"Nevada"
"NY",4542,"New York"
"OH",3367,"Ohio"
"OK",1151,"Oklahoma"
"ON",4,NA
"OR",2818,"Oregon"
"PA",3605,"Pennsylvania"
"RI",472,"Rhode Island"
"SC",1712,"South Carolina"
"SD",291,"South Dakota"
"SK",1,NA
"TN",1827,"Tennessee"
"TX",4877,"Texas"
"UT",1034,"Utah"
"VA",2113,"Virginia"
"VT",405,"Vermont"
"WA",5443,"Washington"
"WI",1981,"Wisconsin"
"WV",634,"West Virginia"
"WY",281,"Wyoming"
